lastTopupAmount, balance, lastTopupDate, weekConsumption, highestConsumptionDay, maximumConsumption, lowestConsumptionDay, minimumConsumption, averageConsumption, date
30.0, 23.18, 20220630, 0, 20220709, 0, 20220709, 0, 0, 2022-07-17
30.0, 22.50, 20220630, 0, 20220710, 0, 20220710, 0, 0, 2022-07-18
30.0, 22.16, 20220630, 0, 20220711, 0, 20220711, 0, 0, 2022-07-19
30.0, 19.68, 20220630, 0, 20220712, 0, 20220712, 0, 0, 2022-07-20
30.0, 19.34, 20220630, 0, 20220713, 0, 20220713, 0, 0, 2022-07-21
30.0, 19, 20220630, 0, 20220714, 0, 20220714, 0, 0, 2022-07-22
30.0, 18.71, 20220630, 0, 20220716, 0, 20220716, 0, 0, 2022-07-23
30.0, 18.31, 20220630, 0, 20220716, 0, 20220716, 0, 0, 2022-07-24
30.0, 17.63, 20220630, 0, 20220717, 0, 20220717, 0, 0, 2022-07-25
30.0, 17.63, 20220630, 0, 20220718, 0, 20220718, 0, 0, 2022-07-26
30.0, 16.94, 20220630, 0, 20220719, 0, 20220719, 0, 0, 2022-07-27
30.0, 16.94, 20220630, 0, 20220720, 0, 20220720, 0, 0, 2022-07-28
30.0, 16.50, 20220630, 0, 20220721, 0, 20220721, 0, 0, 2022-07-29
30.0, 16.10, 20220630, 0, 20220722, 0, 20220722, 0, 0, 2022-07-30
30.0, 15.91, 20220630, 0, 20220723, 0, 20220723, 0, 0, 2022-07-31
30.0, 15.77, 20220630, 0, 20220724, 0, 20220724, 0, 0, 2022-08-01
30.0, 15.57, 20220630, 0, 20220725, 0, 20220725, 0, 0, 2022-08-02
30.0, 15.23, 20220630, 0, 20220726, 0, 20220726, 0, 0, 2022-08-03
30.0, 14.89, 20220630, 0, 20220727, 0, 20220727, 0, 0, 2022-08-04
