lastTopup, balance, lastTopupDate, weekConsumption, highestConsumptionDay, maximumConsumption, lowestConsumptionDay, minimumConsumption, averageConsumption, date
30.0, 23.18, 20220630, 0, 20220709, 0, 20220709, 0, 0, 2022-07-17
30.0, 22.50, 20220630, 0, 20220710, 0, 20220710, 0, 0, 2022-07-18
30.0, 22.16, 20220630, 0, 20220711, 0, 20220711, 0, 0, 2022-07-19
30.0, 19.68, 20220630, 0, 20220712, 0, 20220712, 0, 0, 2022-07-20
30.0, 19.34, 20220630, 0, 20220713, 0, 20220713, 0, 0, 2022-07-21
30.0, 19.00, 20220630, 0, 20220714, 0, 20220714, 0, 0, 2022-07-22
30.0, 18.71, 20220630, 0, 20220716, 0, 20220716, 0, 0, 2022-07-23
30.0, 18.31, 20220630, 0, 20220716, 0, 20220716, 0, 0, 2022-07-24
30.0, 17.63, 20220630, 0, 20220717, 0, 20220717, 0, 0, 2022-07-25
30.0, 17.63, 20220630, 0, 20220718, 0, 20220718, 0, 0, 2022-07-26
30.0, 16.94, 20220630, 0, 20220719, 0, 20220719, 0, 0, 2022-07-27
30.0, 16.94, 20220630, 0, 20220720, 0, 20220720, 0, 0, 2022-07-28
30.0, 16.50, 20220630, 0, 20220721, 0, 20220721, 0, 0, 2022-07-29
30.0, 16.10, 20220630, 0, 20220722, 0, 20220722, 0, 0, 2022-07-30
30.0, 15.91, 20220630, 0, 20220723, 0, 20220723, 0, 0, 2022-07-31
30.0, 15.77, 20220630, 0, 20220724, 0, 20220724, 0, 0, 2022-08-01
30.0, 15.57, 20220630, 0, 20220725, 0, 20220725, 0, 0, 2022-08-02
30.0, 15.23, 20220630, 0, 20220726, 0, 20220726, 0, 0, 2022-08-03
30.0, 14.89, 20220630, 0, 20220727, 0, 20220727, 0, 0, 2022-08-04
30.0, 14.54, 20220630, 0, 20220728, 0, 20220728, 0, 0, 2022-08-05
30.0, 14.45, 20220630, 0, 20220729, 0, 20220729, 0, 0, 2022-08-06
30.0, 14.35, 20220630, 0, 20220730, 0, 20220730, 0, 0, 2022-08-07
30.0, 14.2, 20220630, 0, 20220731, 0, 20220731, 0, 0, 2022-08-08
30.0, 13.86, 20220630, 0, 20220801, 0, 20220801, 0, 0, 2022-08-09
30.0, 13.52, 20220630, 0, 20220802, 0, 20220802, 0, 0, 2022-08-10
30.0, 13.18, 20220630, 0, 20220803, 0, 20220803, 0, 0, 2022-08-11
30.0, 12.49, 20220630, 0, 20220804, 0, 20220804, 0, 0, 2022-08-12
30.0, 11.81, 20220630, 0, 20220805, 0, 20220805, 0, 0, 2022-08-13
30.0, 11.12, 20220630, 0, 20220806, 0, 20220806, 0, 0, 2022-08-14
30.0, 10.44, 20220630, 0, 20220807, 0, 20220807, 0, 0, 2022-08-15
30.0, 10.09, 20220630, 0, 20220808, 0, 20220808, 0, 0, 2022-08-16
30.0, 9.75, 20220630, 0, 20220809, 0, 20220809, 0, 0, 2022-08-17
30.0, 9.41, 20220630, 0, 20220810, 0, 20220810, 0, 0, 2022-08-18
30.0, 9.07, 20220630, 0, 20220811, 0, 20220811, 0, 0, 2022-08-19
30.0, 8.50, 20220630, 0, 20220812, 0, 20220812, 0, 0, 2022-08-20
30.0, 6.25, 20220630, 0, 20220813, 0, 20220813, 0, 0, 2022-08-21
30.0, 5.91, 20220630, 0, 20220814, 0, 20220814, 0, 0, 2022-08-22
30.0, 5.56, 20220630, 0, 20220815, 0, 20220815, 0, 0, 2022-08-23
30.0, 5.22, 20220630, 0, 20220816, 0, 20220816, 0, 0, 2022-08-24
